cloudAccessPolicy	accesspolicy-{name}
cloudAccount	act-[{id}]-vendor-{vendor}
cloudApicSubnet	apicsubnet-[{subnet}]
cloudApicSubnetPool	apicsubnetpool-[{subnet}]
cloudApp	cloudapp-{name}
cloudAwsFlowLogPol	flowlog-{name}
cloudAwsFlowLogPolDef	flowlogpoldef-[{flowLogPolDn}]
cloudAwsLogGroup	loggrp-{name}
cloudAwsProvider	awsprovider
cloudAzureStatsPol	azstatpol-{name}
cloudBfdP	bfdp
cloudBfdPDef	bfdpdef
cloudBfdPol	bfdPol-{name}
cloudBfdPolDef	bfdpoldef-{name}
cloudBfdPolDefCont	bfdpoldefcont
cloudBgpAsP	as
cloudBgpPeerP	bgppeerp-[{addr}]
cloudBrownfield	brownfield
cloudCertStore	certstore
cloudCidr	cidr-[{addr}]
cloudCloneFromRouteTable	cloneFromRoutetable-[{mappingRouteTable}]
cloudComputePol	computepol-{name}
cloudCredentials	credentials-{name}
cloudCtxProfile	ctxprofile-{name}
cloudCtxUnderlayP	ctxUnderlayP
cloudDomP	clouddomp
cloudEPSelector	epselector-{name}
cloudEPg	cloudepg-{name}
cloudExtCtxProfile	extctxprofile-[{cloudProviderId}]
cloudExtEPSelector	extepselector-[{subnet}]
cloudExtEPg	cloudextepg-{name}
cloudExtNetworkP	extnetworkp-{name}
cloudFrontendIPv4Addr	frontendipv4addr-{ip}
cloudGatewayCidr	gatewaycidr-[{addr}]
cloudGatewayRouterLabel	gatewayrouterlabel-{name}
cloudGatewayRouterP	gwrouterp-{name}
cloudGcpFlowLogPol	gcpfl-{name}
cloudGcpFlowLogPolDef	gcpflowlogdef-[{flowLogPolDn}]
cloudHealthProbe	svcprobe-{name}
cloudHostIfP	hostifp-{nicId}
cloudHostRouterPol	hostrouterpol-{name}
cloudIDMapping	idMapping-[{cloudProviderId}]
cloudIntNetworkP	intnetworkp-{name}
cloudIntegrationMode	intmode
cloudIpSecTunnelIfP	ipsectunnelifp-{name}
cloudIpv4AddrP	ipv4addrp
cloudL3IfP	l3ifp
cloudL3TunnelIfP	l3tunnelifp-{name}
cloudLB	clb-{name}
cloudLDev	cld-{name}
cloudLIf	clif-{name}
cloudLIfTag	cliftag-{TagKey}
cloudListener	listener-{name}
cloudListenerRule	listenerRule-{name}
cloudLoopbackIfP	lbifp-{name}
cloudMapping	mapping-[{inventoryDn}]
cloudMgmtPol	mgmtpol-{name}
cloudNaming	cloudnaming
cloudNamingDef	cloudnamingdef
cloudNextHopIp	nexthopip-[{subnet}]
cloudOspfAreaP	ospfareap-[{id}]
cloudOspfIfP	ospfifp-[{area}]-af-{af}
cloudPrivateLinkLabel	privatelinklabel-{name}
cloudProvEpSecGrpMaxP	provepmaxsgpol
cloudProvGC	provgc
cloudProvP	provp-{vendor}
cloudProvResPolCont	provrespolcont
cloudProvSGForSubnetP	provsgforsubnet
cloudProvVmType	provvmtype-{vendor}-{name}
cloudRegion	region-{name}
cloudRegionName	provider-{provider}-region-{region}
cloudRemoteVpnGw	remotevpngw-[{name}]
